domain,tld,ml_probability,source,is_featureless,domain_length,entropy,contains_brand,cert_is_lets_encrypt,cert_subject_has_org,is_dangerous_tld,is_legitimate_tld
gongfuguoxue.com,com,0.32476932,jpcert,True,16.0,3.10845859334435,0.0,0.0,0.0,False,True
lindastilesfox.com,com,0.32621095,jpcert,True,18.0,3.7254805569978675,0.0,1.0,0.0,False,True
catautorentals.com,com,0.32765964,phishtank,True,18.0,3.4193819456463714,0.0,1.0,0.0,False,True
jibun-vvh.com,com,0.32923317,certificates,True,13.0,3.546593564294939,0.0,0.0,0.0,False,True
agnosticx.com,com,0.32969376,jpcert,True,13.0,3.3927474104487847,0.0,1.0,0.0,False,True
vip5vip.com,com,0.3299564,certificates,True,11.0,2.9139770731827523,0.0,1.0,0.0,False,True
m-creativestudio.com,com,0.33033577,jpcert,True,20.0,3.721928094887362,0.0,1.0,0.0,False,True
dotaplusgift.com,com,0.33083472,phishtank,True,16.0,3.75,0.0,1.0,0.0,False,True
osnakjsing.com,com,0.331155,jpcert,True,14.0,3.3787834934861767,0.0,1.0,0.0,False,True
www.surveymonkey.com,com,0.3335858,phishtank,True,20.0,3.5841837197791886,0.0,0.0,1.0,False,True
imprintmastery.com,com,0.3344237,certificates,True,18.0,3.5724312513221195,0.0,1.0,0.0,False,True
tracybloom.co.uk,uk,0.33477676,phishtank,True,16.0,3.452819531114783,0.0,0.0,0.0,False,True
uspsspostoffice.com,com,0.33642223,phishtank,True,19.0,3.2608281712244547,0.0,1.0,0.0,False,True
eloomdreamsg.com,com,0.3370877,jpcert,True,16.0,3.2806390622295662,0.0,1.0,0.0,False,True
f7e2e93e16.nxcli.io,io,0.3372396,phishtank,True,19.0,3.7871439606981387,0.0,1.0,0.0,False,True
guihuahui.com,com,0.33869308,certificates,True,13.0,3.0269868333592873,0.0,0.0,0.0,False,True
jibun-xxl.com,com,0.33890063,certificates,True,13.0,3.546593564294939,0.0,0.0,0.0,False,True
dlxcc.com,com,0.33924213,certificates,True,9.0,2.6416041678685933,0.0,1.0,0.0,False,True
aspectlandarch.com,com,0.3393158,certificates,True,18.0,3.6416041678685933,0.0,1.0,0.0,False,True
salampopalam.com,com,0.3415705,phishtank,True,16.0,2.827819531114783,0.0,1.0,0.0,False,True
shuidfhbayj.com,com,0.3428757,certificates,True,15.0,3.773557262275185,0.0,1.0,0.0,False,True
sfe-verification.com,com,0.34290233,phishtank,True,20.0,3.6841837197791887,0.0,1.0,0.0,False,True
gratisgenieten.com,com,0.34312963,certificates,True,18.0,3.4613201402110083,0.0,1.0,0.0,False,True
clavefiscal-aflp.com,com,0.34324437,phishtank,True,20.0,3.5086949695628418,0.0,0.0,0.0,False,True
nagasakiseikotuin.com,com,0.34361932,jpcert,True,21.0,3.5585186130489053,0.0,1.0,0.0,False,True
eau-veolia.com,com,0.3436202,phishtank,True,14.0,3.3787834934861767,0.0,1.0,0.0,False,True
