domain,tld,ml_probability,source,is_featureless,domain_length,entropy,contains_brand,cert_is_lets_encrypt,cert_subject_has_org,is_dangerous_tld,is_legitimate_tld,ml_bin
mondialrelay-programmer.com,com,0.27994442,phishtank,True,27.0,3.661932872373583,0.0,1.0,0.0,False,True,medium
exaccenture.com,com,0.27168205,phishtank,True,15.0,3.272905595320056,0.0,1.0,0.0,False,True,medium
xserver-ne-jp.com,com,0.23488548,jpcert,True,17.0,3.572469458770136,0.0,1.0,0.0,False,True,medium
szdsib.com,com,0.25883812,jpcert,True,10.0,3.121928094887362,0.0,0.0,0.0,False,True,medium
ancien-bfor-espace.com,com,0.26734725,phishtank,True,22.0,3.663532754804253,0.0,1.0,0.0,False,True,medium
re-amendes-gouv.com,com,0.26479277,phishtank,True,19.0,3.6818808028034016,0.0,1.0,0.0,False,True,medium
mizuha-bask.com,com,0.17986043,certificates,True,15.0,3.640223928941851,0.0,0.0,0.0,False,True,medium
saltekomakine.com,com,0.16010478,phishtank,True,17.0,3.499227547132693,0.0,1.0,0.0,False,True,medium
mondiai-retard.com,com,0.25670153,phishtank,True,18.0,3.5032583347756456,0.0,1.0,0.0,False,True,medium
incident-reception.com,com,0.20360439,phishtank,True,22.0,3.4130884364257565,0.0,1.0,0.0,False,True,medium
honeystuck.com,com,0.24691032,certificates,True,14.0,3.521640636343319,0.0,1.0,0.0,False,True,medium
bdxhdl.com,com,0.19950768,certificates,True,10.0,3.121928094887362,0.0,0.0,0.0,False,True,medium
ashleytevatia.com,com,0.18230785,jpcert,True,17.0,3.572469458770136,0.0,0.0,0.0,False,True,medium
3q3qsq.com,com,0.18971401,jpcert,True,10.0,2.6464393446710157,0.0,1.0,0.0,False,True,medium
seiteabosportalsuisseltd.com,com,0.1756413,phishtank,True,28.0,3.6689869584530608,0.0,0.0,0.0,False,True,medium
cf-brands.com,com,0.15721771,jpcert,True,13.0,3.5465935642949384,0.0,0.0,0.0,False,True,medium
depot-tentative.com,com,0.24784027,phishtank,True,19.0,3.471354487013928,0.0,1.0,0.0,False,True,medium
pathalive.com,com,0.19356233,jpcert,True,13.0,3.5465935642949384,0.0,1.0,0.0,False,True,medium
netbka.net,net,0.16970636,certificates,True,10.0,2.721928094887362,0.0,0.0,0.0,False,True,medium
hlcoins.com,com,0.2796959,jpcert,True,11.0,3.095795255000934,0.0,1.0,0.0,False,True,medium
buffycam.com,com,0.26447526,jpcert,True,12.0,3.084962500721156,0.0,1.0,0.0,False,True,medium
dolivro.com,com,0.29097858,jpcert,True,11.0,3.027169118440619,0.0,1.0,0.0,False,True,medium
eurobajar.com,com,0.25901327,jpcert,True,13.0,3.238901256602631,0.0,0.0,0.0,False,True,medium
jucreditzc.com,com,0.17483358,jpcert,True,14.0,3.4677201004745006,0.0,1.0,0.0,False,True,medium
trajet-uiys.com,com,0.19486098,phishtank,True,15.0,3.773557262275185,0.0,1.0,0.0,False,True,medium
mesco-group.com,com,0.17919917,phishtank,True,15.0,3.32323142879762,0.0,1.0,0.0,False,True,medium
penglipur.com,com,0.24443047,jpcert,True,13.0,3.5465935642949384,0.0,1.0,0.0,False,True,medium
solde-ulys.com,com,0.16623437,phishtank,True,14.0,3.3787834934861767,0.0,1.0,0.0,False,True,medium
52976.net,net,0.16197175,phishtank,True,9.0,3.169925001442312,0.0,1.0,0.0,False,True,medium
cntuopu.com,com,0.2095031,certificates,True,11.0,2.9139770731827523,0.0,1.0,0.0,False,True,medium
inkaqkanjsha.com,com,0.17509973,jpcert,True,16.0,3.452819531114783,0.0,1.0,0.0,False,True,medium
family-officebell.com,com,0.16476458,phishtank,True,21.0,3.463280517810811,0.0,1.0,0.0,False,True,medium
paypay-co.jp,jp,0.15924734,certificates,True,12.0,2.8553885422075336,0.0,0.0,0.0,False,True,medium
quakelatam.com,com,0.20395474,phishtank,True,14.0,3.3248629576173574,0.0,1.0,0.0,False,True,medium
paleoftmc.com,com,0.250129,jpcert,True,13.0,3.238901256602631,0.0,1.0,0.0,False,True,medium
alafq.com,com,0.25023645,certificates,True,9.0,2.94770277922009,0.0,1.0,0.0,False,True,medium
nbjfdiwefkd.com,com,0.26786694,jpcert,True,15.0,3.640223928941851,0.0,1.0,0.0,False,True,medium
bnkchiba.com,com,0.28691646,jpcert,True,12.0,3.2516291673878226,0.0,0.0,0.0,False,True,medium
dhjmsb.com,com,0.17724472,certificates,True,10.0,3.121928094887362,0.0,1.0,0.0,False,True,medium
generalgaming.ca,ca,0.26670048,phishtank,True,16.0,3.1556390622295662,0.0,1.0,0.0,False,True,medium
tongkhorobot.com,com,0.32398552,jpcert,True,16.0,3.149397470347699,0.0,0.0,0.0,False,True,high
hkjnx.com,com,0.3963156,jpcert,True,9.0,3.169925001442312,0.0,1.0,0.0,False,True,high
13wealth.com,com,0.46845025,jpcert,True,12.0,3.584962500721156,0.0,1.0,0.0,False,True,high
gotgtek.com,com,0.47952878,jpcert,True,11.0,2.9139770731827523,0.0,1.0,0.0,False,True,high
seodometer.com,com,0.36019585,jpcert,True,14.0,2.9852281360342525,0.0,1.0,0.0,False,True,high
hannari.deasgarden.jp,jp,0.30896905,jpcert,True,21.0,3.4039894464852614,0.0,1.0,0.0,False,True,high
jurimer.com,com,0.39241955,phishtank,True,11.0,3.095795255000934,0.0,1.0,0.0,False,True,high
xanderleneave.com,com,0.42413792,jpcert,True,17.0,3.381580488309164,0.0,1.0,0.0,False,True,high
apatagore.com,com,0.3862605,certificates,True,13.0,3.180832987205441,0.0,0.0,0.0,False,True,high
imsandecpa.com,com,0.39615288,jpcert,True,14.0,3.378783493486176,0.0,1.0,0.0,False,True,high
cunpinjx.com,com,0.38272905,jpcert,True,12.0,3.2516291673878226,0.0,1.0,0.0,False,True,high
oframakeup.com,com,0.3550832,jpcert,True,14.0,3.3787834934861767,0.0,1.0,0.0,False,True,high
fifabeat.com,com,0.44989818,certificates,True,12.0,3.2516291673878226,0.0,1.0,0.0,False,True,high
youngsert.com,com,0.43604484,jpcert,True,13.0,3.5465935642949384,0.0,1.0,0.0,False,True,high
osnakjsing.com,com,0.331155,jpcert,True,14.0,3.3787834934861767,0.0,1.0,0.0,False,True,high
dahanjt.com,com,0.4939396,certificates,True,11.0,3.2776134368191165,0.0,1.0,0.0,False,True,high
kontakqq.com,com,0.3462775,certificates,True,12.0,3.084962500721156,0.0,1.0,0.0,False,True,high
sologamingstudio.com,com,0.35434377,jpcert,True,20.0,3.5219280948873624,0.0,1.0,0.0,False,True,high
besthuo.com,com,0.37457764,certificates,True,11.0,3.277613436819116,0.0,1.0,0.0,False,True,high
appuwei.com,com,0.38540572,jpcert,True,11.0,3.2776134368191165,0.0,1.0,0.0,False,True,high
verify-sfe.com,com,0.48170596,phishtank,True,14.0,3.521640636343319,0.0,1.0,0.0,False,True,high
uiys-mobiiites.com,com,0.4168305,phishtank,True,18.0,3.3921472236645345,0.0,1.0,0.0,False,True,high
linktoparis.com,com,0.38672262,jpcert,True,15.0,3.640223928941851,0.0,1.0,0.0,False,True,high
uofor.com,com,0.48525125,certificates,True,9.0,2.6416041678685933,0.0,0.0,0.0,False,True,high
uspsspostoffice.com,com,0.33642223,phishtank,True,19.0,3.2608281712244547,0.0,1.0,0.0,False,True,high
navitiot.com,com,0.3499297,jpcert,True,12.0,3.084962500721156,0.0,1.0,0.0,False,True,high
khachsanmayho.com,com,0.347788,jpcert,True,17.0,3.175123135113461,0.0,1.0,0.0,False,True,high
boerdz.com,com,0.3491892,jpcert,True,10.0,3.121928094887362,0.0,1.0,0.0,False,True,high
szxgny.com,com,0.4413926,jpcert,True,10.0,3.321928094887362,0.0,0.0,0.0,False,True,high
spiritedladies.com,com,0.41102687,jpcert,True,18.0,3.5724312513221195,0.0,1.0,0.0,False,True,high
tracybloom.co.uk,uk,0.33477676,phishtank,True,16.0,3.452819531114783,0.0,0.0,0.0,False,True,high
0371lingte.com,com,0.36963293,jpcert,True,14.0,3.8073549220576055,0.0,1.0,0.0,False,True,high
weddingcufflinksuk.com,com,0.34377295,jpcert,True,22.0,3.82306798227366,0.0,1.0,0.0,False,True,high
insjaghsama.com,com,0.44158015,jpcert,True,15.0,3.323231428797621,0.0,1.0,0.0,False,True,high
jianlimuye.com,com,0.3768789,jpcert,True,14.0,3.521640636343319,0.0,1.0,0.0,False,True,high
meinkonto.telekom-dienste.de,de,0.32252762,phishtank,True,28.0,3.3868392966712704,0.0,0.0,0.0,False,True,high
iaestudy.com,com,0.31705463,jpcert,True,12.0,3.584962500721156,0.0,1.0,0.0,False,True,high
7starsdata.com,com,0.31783447,jpcert,True,14.0,3.182005814760214,0.0,1.0,0.0,False,True,high
jdongaz.com,com,0.45346257,certificates,True,11.0,3.277613436819116,0.0,1.0,0.0,False,True,high
iunkxaqinfl.com,com,0.43669277,jpcert,True,15.0,3.640223928941851,0.0,1.0,0.0,False,True,high
