domain,tld,ml_probability,source,features,is_dangerous_tld,has_brand,high_entropy,short_domain,entropy,domain_length,contains_brand,gsb_status,gsb_detail,gsb_checked_at
lekoginhr.top,top,0.029434642,phishtank,dangerous_tld,True,False,False,False,3.5465935642949384,13.0,0.0,unknown,Status element not found,2026-01-11T20:13:54.596160
iprorab.pro,pro,0.009646408,phishtank,,False,False,False,False,2.663532754804255,11.0,0.0,safe,No unsafe content found,2026-01-11T20:14:06.020316
planmil.cl,cl,0.38462082,phishtank,,False,False,False,False,2.8464393446710154,10.0,0.0,safe,No unsafe content found,2026-01-11T20:14:13.132488
carenet.lk,lk,0.046178404,jpcert,,False,False,False,False,3.121928094887362,10.0,0.0,safe,No unsafe content found,2026-01-11T20:14:20.264650
zhoujcbli.shop,shop,0.25179362,phishtank,,False,False,False,False,3.521640636343319,14.0,0.0,safe,No unsafe content found,2026-01-11T20:14:26.671484
dmgver.top,top,0.10273495,phishtank,dangerous_tld,True,False,False,False,3.321928094887362,10.0,0.0,unknown,Status element not found,2026-01-11T20:14:33.101765
smbc-cardbv.icu,icu,0.13171908,phishtank,dangerous_tld,True,False,False,False,3.4565647621309536,15.0,0.0,unknown,Status element not found,2026-01-11T20:14:44.513252
wk.pl,pl,0.0007587012,phishtank,short,False,False,False,True,2.321928094887362,5.0,0.0,safe,No unsafe content found,2026-01-11T20:14:56.619583
zozo-shop.cc,cc,0.35299668,jpcert,dangerous_tld,True,False,False,False,2.8553885422075336,12.0,0.0,safe,No unsafe content found,2026-01-11T20:15:03.718633
tudosobretodos.se,se,0.0068144794,phishtank,,False,False,False,False,2.984234164652489,17.0,0.0,safe,No unsafe content found,2026-01-11T20:15:10.126252
bin.st,st,0.07283635,jpcert,short,False,False,False,True,2.584962500721156,6.0,0.0,safe,No unsafe content found,2026-01-11T20:15:17.224868
karresults-nic-in.in,in,0.009294408,phishtank,,False,False,False,False,3.546439344671016,20.0,0.0,safe,No unsafe content found,2026-01-11T20:15:24.334932
harcofed.org.in,in,0.08981276,phishtank,,False,False,False,False,3.5068905956085183,15.0,0.0,unsafe,Some pages unsafe,2026-01-11T20:15:31.496164
server-jp.icu,icu,0.010608278,phishtank,dangerous_tld,True,False,False,False,3.3927474104487847,13.0,0.0,unknown,Status element not found,2026-01-11T20:15:38.606930
panther.wiki,wiki,0.03957654,jpcert,,False,False,False,False,3.4182958340544896,12.0,0.0,safe,No unsafe content found,2026-01-11T20:15:50.749587
l.ead.me,me,0.0010411316,phishtank,,False,False,False,False,2.5,8.0,0.0,safe,No unsafe content found,2026-01-11T20:15:57.959954
TINy.Cc,Cc,0.088479675,certificates,"dangerous_tld,,short",True,False,False,True,2.807354922057604,7.0,0.0,unknown,Status element not found,2026-01-11T20:16:05.079275
ralkuten.xyz,xyz,0.21182616,jpcert,dangerous_tld,True,False,False,False,3.584962500721156,12.0,0.0,safe,No unsafe content found,2026-01-11T20:16:16.503560
dmaerket.click,click,0.035652917,phishtank,dangerous_tld,True,False,False,False,3.378783493486176,14.0,0.0,safe,No unsafe content found,2026-01-11T20:16:22.897321
0udoep.lat,lat,0.026661167,phishtank,dangerous_tld,True,False,False,False,3.321928094887362,10.0,0.0,safe,No unsafe content found,2026-01-11T20:16:29.310080
wistariatree.cn,cn,0.046816897,jpcert,dangerous_tld,True,False,False,False,3.240223928941852,15.0,0.0,unknown,Status element not found,2026-01-11T20:16:36.424097
jsft.dk,dk,0.18306921,phishtank,short,False,False,False,True,2.807354922057604,7.0,0.0,unsafe,Some pages unsafe,2026-01-11T20:16:48.847178
terrarioskarungen.cl,cl,0.068411894,jpcert,,False,False,False,False,3.621928094887362,20.0,0.0,safe,No unsafe content found,2026-01-11T20:16:55.970029
internetku.id,id,0.08524036,jpcert,,False,False,False,False,3.0850551027564768,13.0,0.0,safe,No unsafe content found,2026-01-11T20:17:03.074223
hisashi.me,me,0.022804752,jpcert,,False,False,False,False,2.721928094887362,10.0,0.0,safe,No unsafe content found,2026-01-11T20:17:09.503326
aono.shop,shop,0.007368005,certificates,,False,False,False,False,2.6416041678685933,9.0,0.0,safe,No unsafe content found,2026-01-11T20:17:15.941246
2q4npu.sbs,sbs,0.19273677,phishtank,dangerous_tld,True,False,False,False,3.1219280948873624,10.0,0.0,safe,No unsafe content found,2026-01-11T20:17:23.051289
ovrar.cn,cn,0.056452584,phishtank,dangerous_tld,True,False,False,False,2.75,8.0,0.0,safe,No unsafe content found,2026-01-11T20:17:30.162318
municipiofreire.cl,cl,0.018432153,jpcert,,False,False,False,False,3.3921472236645345,18.0,0.0,safe,No unsafe content found,2026-01-11T20:17:37.294348
sec82.com.pl,pl,0.2353132,phishtank,,False,False,False,False,3.2516291673878226,12.0,0.0,safe,No unsafe content found,2026-01-11T20:17:44.388087
item.zone,zone,0.01824695,jpcert,,False,False,False,False,2.94770277922009,9.0,0.0,safe,No unsafe content found,2026-01-11T20:17:51.483185
tjdgxy.com.cn,cn,0.1966244,jpcert,dangerous_tld,True,False,False,False,3.392747410448785,13.0,0.0,safe,No unsafe content found,2026-01-11T20:17:58.558819
audacia.cn,cn,0.3355379,certificates,dangerous_tld,True,False,False,False,2.6464393446710157,10.0,0.0,safe,No unsafe content found,2026-01-11T20:18:04.946584
nintendo.pe,pe,0.08919459,jpcert,,False,False,False,False,2.8453509366224368,11.0,0.0,safe,No unsafe content found,2026-01-11T20:18:12.090406
0755yz.com.cn,cn,0.09478231,jpcert,dangerous_tld,True,False,False,False,3.238901256602631,13.0,0.0,unknown,Status element not found,2026-01-11T20:18:18.512326
oqjbjas.xyz,xyz,0.12543605,phishtank,dangerous_tld,True,False,False,False,3.277613436819116,11.0,0.0,unknown,Status element not found,2026-01-11T20:18:30.624727
techwizz.in,in,0.06623785,certificates,,False,False,False,False,3.095795255000934,11.0,0.0,unknown,Status element not found,2026-01-11T20:18:42.777907
epoioss.sbs,sbs,0.33237824,jpcert,dangerous_tld,True,False,False,False,2.550340709546388,11.0,0.0,unknown,Status element not found,2026-01-11T20:18:55.249831
update-amazaon-co-jp.icu,icu,0.37385106,jpcert,dangerous_tld,True,False,False,False,3.720175521464345,24.0,0.0,unknown,Status element not found,2026-01-11T20:19:06.632980
goo.io,io,0.030149437,jpcert,short,False,False,False,True,1.7924812503605778,6.0,0.0,unknown,Status element not found,2026-01-11T20:19:18.008396
oscar-sun.gr,gr,0.031804264,phishtank,,False,False,False,False,3.2516291673878226,12.0,0.0,unknown,Status element not found,2026-01-11T20:19:30.452856
crm.avtovelomoto.by,by,0.026945828,phishtank,,False,False,False,False,3.4058222502856896,19.0,0.0,safe,No unsafe content found,2026-01-11T20:19:42.790849
steamcormmunrity.com,com,0.020694971,phishtank,brand,False,True,False,False,3.521928094887362,20.0,1.0,safe,No unsafe content found,2026-01-11T20:19:49.694719
sparkasse-spush.de,de,0.052506857,phishtank,brand,False,True,False,False,3.1916116417513782,18.0,1.0,safe,No unsafe content found,2026-01-11T20:19:56.002229
dvegov.cn,cn,0.17868738,phishtank,dangerous_tld,True,False,False,False,2.94770277922009,9.0,0.0,safe,No unsafe content found,2026-01-11T20:20:02.416541
avnetworkonsite.co.za,za,0.0538089,jpcert,,False,False,False,False,3.6897037321995465,21.0,0.0,safe,No unsafe content found,2026-01-11T20:20:08.837369
goldennumber.pk,pk,0.039521247,jpcert,,False,False,False,False,3.640223928941851,15.0,0.0,safe,No unsafe content found,2026-01-11T20:20:15.259489
cajaal.pe,pe,0.04443965,phishtank,,False,False,False,False,2.6416041678685933,9.0,0.0,safe,No unsafe content found,2026-01-11T20:20:22.361942
absolutepleasure.com.my,my,0.052529693,phishtank,,False,False,False,False,3.708132064658602,23.0,0.0,safe,No unsafe content found,2026-01-11T20:20:29.448005
services-online.click,click,0.2886827,jpcert,dangerous_tld,True,False,False,False,3.4273334938982645,21.0,0.0,safe,No unsafe content found,2026-01-11T20:20:36.554928
uniquederma.com.cn,cn,0.3377309,jpcert,dangerous_tld,True,False,False,False,3.503258334775645,18.0,0.0,unknown,Status element not found,2026-01-11T20:20:43.590280
sniperland.by,by,0.03121367,phishtank,,False,False,False,False,3.5465935642949384,13.0,0.0,unknown,Status element not found,2026-01-11T20:20:55.908869
almiras.kz,kz,0.1632028,phishtank,,False,False,False,False,3.121928094887362,10.0,0.0,unknown,Status element not found,2026-01-11T20:21:08.209265
cr-bcrsesegs.icu,icu,0.31780168,phishtank,dangerous_tld,True,False,False,False,3.1556390622295662,16.0,0.0,unknown,Status element not found,2026-01-11T20:21:20.513828
regulation-route.info,info,0.43991965,phishtank,,False,False,False,False,3.594465636961452,21.0,0.0,safe,No unsafe content found,2026-01-11T20:21:32.649008
jingle.bio,bio,0.016944205,phishtank,,False,False,False,False,3.121928094887362,10.0,0.0,safe,No unsafe content found,2026-01-11T20:21:39.774787
oxx.jp,jp,0.02324422,jpcert,short,False,False,False,True,2.2516291673878226,6.0,0.0,safe,No unsafe content found,2026-01-11T20:21:46.889723
nexoenlinea.x10.bz,bz,0.028530944,phishtank,,False,False,False,False,3.419381945646371,18.0,0.0,safe,No unsafe content found,2026-01-11T20:21:53.304505
vticket.eu,eu,0.012658404,phishtank,,False,False,False,False,2.9219280948873623,10.0,0.0,safe,No unsafe content found,2026-01-11T20:21:59.729883
aemvx.cn,cn,0.06086601,jpcert,dangerous_tld,True,False,False,False,3.0,8.0,0.0,unknown,Status element not found,2026-01-11T20:22:06.120619
kelpai.cn,cn,0.091343254,jpcert,dangerous_tld,True,False,False,False,3.169925001442312,9.0,0.0,safe,No unsafe content found,2026-01-11T20:22:17.528401
segurobradescodental.com.br,br,0.17360316,phishtank,brand,False,True,False,False,3.782122224145306,27.0,1.0,unsafe,Some pages unsafe,2026-01-11T20:22:24.666342
mws8t1f2.lat,lat,0.27038765,phishtank,dangerous_tld,True,False,False,False,3.418295834054489,12.0,0.0,safe,No unsafe content found,2026-01-11T20:22:31.789250
mooney.agrinov.tn,tn,0.20427935,phishtank,,False,False,False,False,3.4104172527605203,17.0,0.0,unknown,Status element not found,2026-01-11T20:22:38.204142
ghazalalvand.ir,ir,0.09619491,phishtank,,False,False,False,False,3.240223928941852,15.0,0.0,safe,No unsafe content found,2026-01-11T20:22:49.625196
ns2bradesc.online,online,0.18931074,phishtank,dangerous_tld,True,False,False,False,3.5724694587701364,17.0,0.0,unknown,Status element not found,2026-01-11T20:22:56.764553
igesz.cn,cn,0.056572687,phishtank,dangerous_tld,True,False,False,False,3.0,8.0,0.0,safe,No unsafe content found,2026-01-11T20:23:08.889606
altinii.dk,dk,0.018556379,jpcert,,False,False,False,False,2.8464393446710154,10.0,0.0,safe,No unsafe content found,2026-01-11T20:23:16.053024
4uwtejd.lat,lat,0.013570086,phishtank,dangerous_tld,True,False,False,False,3.277613436819116,11.0,0.0,safe,No unsafe content found,2026-01-11T20:23:23.065633
xiawap.com.cn,cn,0.009797518,jpcert,dangerous_tld,True,False,False,False,3.238901256602631,13.0,0.0,unsafe,Some pages unsafe,2026-01-11T20:23:29.482199
247casino.info,info,0.43323427,phishtank,,False,False,False,False,3.378783493486176,14.0,0.0,safe,No unsafe content found,2026-01-11T20:23:35.903375
2ctcat.lat,lat,0.040836196,phishtank,dangerous_tld,True,False,False,False,2.446439344671015,10.0,0.0,safe,No unsafe content found,2026-01-11T20:23:42.300596
finlex.cn,cn,0.026309805,certificates,dangerous_tld,True,False,False,False,2.94770277922009,9.0,0.0,unknown,Status element not found,2026-01-11T20:23:48.696502
s9fmpo.lat,lat,0.064295046,phishtank,dangerous_tld,True,False,False,False,3.321928094887362,10.0,0.0,safe,No unsafe content found,2026-01-11T20:24:00.794124
pug.gl,gl,0.35404065,jpcert,short,False,False,False,True,2.2516291673878226,6.0,0.0,safe,No unsafe content found,2026-01-11T20:24:07.178806
einoq.cn,cn,0.14935926,jpcert,dangerous_tld,True,False,False,False,2.75,8.0,0.0,unknown,Status element not found,2026-01-11T20:24:14.302493
elmo-danesh.ir,ir,0.01963386,jpcert,,False,False,False,False,3.6644977792004623,14.0,0.0,safe,No unsafe content found,2026-01-11T20:24:25.726570
