domain,tld,ml_probability,source,features,is_dangerous_tld,has_brand,high_entropy,short_domain,entropy,domain_length,contains_brand
xcicn.cn,cn,0.4856509,phishtank,dangerous_tld,True,False,False,False,2.1556390622295662,8.0,0.0
uuhqyq.cn,cn,0.31724188,jpcert,dangerous_tld,True,False,False,False,2.725480556997868,9.0,0.0
dasong.info,info,0.14183958,jpcert,,False,False,False,False,3.095795255000934,11.0,0.0
checkinsurance.org.in,in,0.47602025,phishtank,,False,False,False,False,3.5585186130489057,21.0,0.0
tagomori.biz,biz,0.038589463,jpcert,,False,False,False,False,3.2516291673878226,12.0,0.0
g6ns7e.cn,cn,0.113488466,jpcert,dangerous_tld,True,False,False,False,2.94770277922009,9.0,0.0
nodesolveapp.xyz,xyz,0.029005885,phishtank,dangerous_tld,True,False,False,False,3.625,16.0,0.0
8ujshg.lat,lat,0.08144185,phishtank,dangerous_tld,True,False,False,False,3.321928094887362,10.0,0.0
timepieces.com.sg,sg,0.052091066,phishtank,,False,False,False,False,3.2195282822995477,17.0,0.0
thatguy.cn,cn,0.032034412,jpcert,dangerous_tld,True,False,False,False,3.121928094887362,10.0,0.0
trezor.io.in,in,0.014902806,phishtank,,False,False,False,False,2.9182958340544896,12.0,0.0
emtitpd.top,top,0.35774633,jpcert,dangerous_tld,True,False,False,False,2.8453509366224368,11.0,0.0
bqa82q.lat,lat,0.030509261,phishtank,dangerous_tld,True,False,False,False,2.9219280948873623,10.0,0.0
canhcangungona.icu,icu,0.42503685,certificates,dangerous_tld,True,False,False,False,2.974937501201927,18.0,0.0
3-d.com.cn,cn,0.39558938,certificates,dangerous_tld,True,False,False,False,2.921928094887362,10.0,0.0
x05l6ar335rh.lat,lat,0.112848155,phishtank,dangerous_tld,True,False,False,False,3.375,16.0,0.0
electrorecycle.cl,cl,0.24971634,jpcert,,False,False,False,False,2.74894004700543,17.0,0.0
zozo2726.cc,cc,0.20338446,jpcert,dangerous_tld,True,False,False,False,2.7321588913645702,11.0,0.0
kurmoekoyanato.cc,cc,0.21576273,certificates,dangerous_tld,True,False,False,False,3.4548223999466066,17.0,0.0
mufg-motivate.pro,pro,0.39336744,jpcert,,False,False,False,False,3.734521664779752,17.0,0.0
sprl.in,in,0.049697537,phishtank,short,False,False,False,True,2.807354922057604,7.0,0.0
wly.li,li,0.0134942895,phishtank,short,False,False,False,True,2.2516291673878226,6.0,0.0
usuariosnetb.icu,icu,0.04691838,phishtank,dangerous_tld,True,False,False,False,3.452819531114783,16.0,0.0
cehsenseos.icu,icu,0.033415183,phishtank,dangerous_tld,True,False,False,False,2.9852281360342525,14.0,0.0
piyjha.cn,cn,0.32771352,jpcert,dangerous_tld,True,False,False,False,3.169925001442312,9.0,0.0
newsletters.comu.su,su,0.031505346,phishtank,,False,False,False,False,3.4316235658474303,19.0,0.0
cskilowatt.com,com,0.018890943,phishtank,brand,False,True,False,False,3.378783493486176,14.0,1.0
curvesvietnam.com.vn,vn,0.09040031,jpcert,,False,False,False,False,3.5841837197791886,20.0,0.0
updoijw.top,top,0.26202667,jpcert,dangerous_tld,True,False,False,False,3.0957952550009344,11.0,0.0
chk.me,me,0.009520128,phishtank,short,False,False,False,True,2.584962500721156,6.0,0.0
amirmzndrni.ir,ir,0.37177396,phishtank,,False,False,False,False,2.8423709931771093,14.0,0.0
mtalu.cn,cn,0.051832914,jpcert,dangerous_tld,True,False,False,False,3.0,8.0,0.0
aldapcon.ng,ng,0.05454331,phishtank,,False,False,False,False,3.0957952550009344,11.0,0.0
exteriorvenecos.shop,shop,0.092209354,phishtank,,False,False,False,False,3.4841837197791885,20.0,0.0
aoshunlong.com.cn,cn,0.014589035,certificates,dangerous_tld,True,False,False,False,3.2927701939369904,17.0,0.0
spmmotors.in,in,0.054342218,phishtank,,False,False,False,False,3.0849625007211556,12.0,0.0
cajatrujillo.biz,biz,0.026261268,phishtank,,False,False,False,False,3.5,16.0,0.0
cfbn.com.cn,cn,0.2011677,certificates,dangerous_tld,True,False,False,False,2.663532754804255,11.0,0.0
hohorcu.top,top,0.26389104,phishtank,dangerous_tld,True,False,False,False,2.845350936622437,11.0,0.0
cinov.cn,cn,0.060963847,jpcert,dangerous_tld,True,False,False,False,2.5,8.0,0.0
qmxtcyecxupe.xyz,xyz,0.4705213,jpcert,dangerous_tld,True,False,False,False,3.327819531114783,16.0,0.0
www.orange-clubprive.fr,fr,0.4699613,phishtank,brand,False,True,False,False,3.9361804341297555,23.0,1.0
interieursite.be,be,0.030589765,phishtank,,False,False,False,False,2.952819531114783,16.0,0.0
3cis.com.cn,cn,0.029809333,certificates,dangerous_tld,True,False,False,False,2.8453509366224368,11.0,0.0
silverantik.com.ar,ar,0.074626096,phishtank,,False,False,False,False,3.7254805569978675,18.0,0.0
videoproductions.info,info,0.029560922,phishtank,,False,False,False,False,3.5944656369614516,21.0,0.0
bebimedicalgroup.cn,cn,0.033520076,jpcert,dangerous_tld,True,False,False,False,3.826874881864636,19.0,0.0
1i2eeb24.lat,lat,0.037671663,phishtank,dangerous_tld,True,False,False,False,3.2516291673878226,12.0,0.0
robonelectric.co.za,za,0.050776664,phishtank,,False,False,False,False,3.43162356584743,19.0,0.0
senva.com.cn,cn,0.31650648,certificates,dangerous_tld,True,False,False,False,3.084962500721156,12.0,0.0
guriroom.blog,blog,0.4169158,jpcert,,False,False,False,False,3.0269868333592873,13.0,0.0
postnordtud.top,top,0.119361505,phishtank,dangerous_tld,True,False,False,False,3.0062389286533895,15.0,0.0
xn--100-ti4buj8d5166a.com,com,0.122211345,jpcert,high_entropy,False,False,True,False,4.213660689688184,25.0,0.0
pfddo.cn,cn,0.39955342,jpcert,dangerous_tld,True,False,False,False,2.75,8.0,0.0
nidwf.cn,cn,0.4132828,jpcert,dangerous_tld,True,False,False,False,2.75,8.0,0.0
torvi.pt,pt,0.035979666,phishtank,,False,False,False,False,2.75,8.0,0.0
zzyaolejk.com,com,0.077756114,certificates,brand,False,True,False,False,3.3927474104487847,13.0,1.0
gereniwi.ne.pw,pw,0.47044012,jpcert,dangerous_tld,True,False,False,False,2.8962915290459277,14.0,0.0
jwaveyj.top,top,0.00915882,jpcert,dangerous_tld,True,False,False,False,3.2776134368191165,11.0,0.0
kuronekoyamwmato.top,top,0.0086400425,jpcert,dangerous_tld,True,False,False,False,3.521928094887362,20.0,0.0
galiciared.online,online,0.08699023,phishtank,dangerous_tld,True,False,False,False,3.337175341123077,17.0,0.0
gesfgeuuw.icu,icu,0.067659765,phishtank,dangerous_tld,True,False,False,False,3.0269868333592873,13.0,0.0
inktheshirta.cc,cc,0.11637498,certificates,dangerous_tld,True,False,False,False,3.373557262275185,15.0,0.0
buouxi.cn,cn,0.015791215,certificates,dangerous_tld,True,False,False,False,2.94770277922009,9.0,0.0
metamesk-io.me,me,0.39107087,phishtank,,False,False,False,False,3.128085278891395,14.0,0.0
giwpashion.xyz,xyz,0.037806377,jpcert,dangerous_tld,True,False,False,False,3.6644977792004623,14.0,0.0
i-merchant.biz,biz,0.113411725,jpcert,,False,False,False,False,3.6644977792004623,14.0,0.0
kmiiuojsk.net.tr,tr,0.03552677,jpcert,,False,False,False,False,3.5,16.0,0.0
e8xcbl.xyz,xyz,0.4066021,phishtank,dangerous_tld,True,False,False,False,3.121928094887362,10.0,0.0
govzfxi.life,life,0.017657435,phishtank,,False,False,False,False,3.2516291673878226,12.0,0.0
ydbktvozvz.top,top,0.35531777,jpcert,dangerous_tld,True,False,False,False,3.2359263506290334,14.0,0.0
shinkansenjr-central-co-jp.in,in,0.2807136,jpcert,,False,False,False,False,3.810928306279287,29.0,0.0
borjeviel.ae,ae,0.013696833,jpcert,,False,False,False,False,3.188721875540867,12.0,0.0
replug.link,link,0.043867163,phishtank,dangerous_tld,True,False,False,False,3.277613436819116,11.0,0.0
govee.icu,icu,0.108887576,phishtank,dangerous_tld,True,False,False,False,2.94770277922009,9.0,0.0
hypr.ink,ink,0.043677576,jpcert,,False,False,False,False,3.0,8.0,0.0
context.vc,vc,0.17532493,jpcert,,False,False,False,False,2.9219280948873623,10.0,0.0
amazons.top,top,0.051075626,certificates,dangerous_tld,True,False,False,False,3.0957952550009344,11.0,0.0
com-tiarxzsi.icu,icu,0.017784147,phishtank,dangerous_tld,True,False,False,False,3.577819531114783,16.0,0.0
wofowon.org.np,np,0.13464233,phishtank,,False,False,False,False,2.8073549220576046,14.0,0.0
derbhnyn.cyou,cyou,0.4891895,phishtank,dangerous_tld,True,False,False,False,3.3927474104487847,13.0,0.0
bd7apvpi.lat,lat,0.018367484,phishtank,dangerous_tld,True,False,False,False,3.2516291673878226,12.0,0.0
getapps.vip,vip,0.013371519,phishtank,,False,False,False,False,3.027169118440619,11.0,0.0
mopty.cn,cn,0.055835534,jpcert,dangerous_tld,True,False,False,False,3.0,8.0,0.0
photoniccrystal.cn,cn,0.14989422,jpcert,dangerous_tld,True,False,False,False,3.5724312513221195,18.0,0.0
atelierdeleah.eleven.ma,ma,0.19059247,jpcert,,False,False,False,False,3.168724588286137,23.0,0.0
gabihazut.co.il,il,0.02509202,phishtank,,False,False,False,False,3.5068905956085183,15.0,0.0
acenmxcosexmeco.cc,cc,0.22225583,jpcert,dangerous_tld,True,False,False,False,2.927451224964519,18.0,0.0
sfvog.cn,cn,0.22969273,phishtank,dangerous_tld,True,False,False,False,3.0,8.0,0.0
owtltigtp.cn,cn,0.14133607,phishtank,dangerous_tld,True,False,False,False,3.188721875540867,12.0,0.0
jademorgan.co.nz,nz,0.043310236,phishtank,,False,False,False,False,3.5,16.0,0.0
