domain,source,ml_probability,dns_resolves,http_status,looks_legit,legit_indicators
nnl9l21fa.top,jpcert,0.9803285598754883,False,,,
dianazz.com,certificates,0.8763387203216553,False,,,
vponesservaco.shop,jpcert,0.9578642249107361,False,,,
allegro-stroe.cc,phishtank,0.8995186686515808,False,,,
maribibody.com,jpcert,0.9827656149864197,False,,,
digitalmasters.cn,certificates,0.7435795068740845,False,,,
iconproducts.cn,certificates,0.8414639234542847,False,,,
pcuguz.ink,jpcert,0.969866156578064,False,,,
aptdzk.ink,jpcert,0.8340707421302795,False,,,
sxhaedlexqlhe.com,certificates,0.8812340497970581,False,,,
pouejsohvsg.icu,certificates,0.7909079790115356,False,,,
ehue77.cn,jpcert,0.907517671585083,False,,,
hornfels.cn,jpcert,0.959864616394043,True,503.0,,
prgge.cn,jpcert,0.9146524667739868,True,503.0,,
bfo681.com,certificates,0.9877610206604004,False,,,
boxaocanngonngona.icu,certificates,0.9465540647506714,False,,,
evrryday.com,jpcert,0.7031418085098267,False,,,
dreamsdesigns.cn,certificates,0.9756929278373718,True,404.0,,
omgetty.com,certificates,0.8862433433532715,True,200.0,unknown,
zhongnanvalves.com,certificates,0.9745272994041443,True,503.0,,
post-x.top,certificates,0.9370869994163513,False,,,
qingsongbar.com,certificates,0.9019854664802551,True,503.0,,
zsctald.com,certificates,0.9850732684135437,False,,,
airlines-contact-number.com,certificates,0.7965376973152161,False,,,
nxikaxoqgnuwrp.com,phishtank,0.7543279528617859,False,,,
wyjuqqe.top,jpcert,0.9704504609107971,False,,,
baidachu.com.cn,certificates,0.7963618636131287,False,,,
gkhahqrz.ne.pw,jpcert,0.9867332577705383,False,,,
smbc-card.vip,certificates,0.9475271105766296,False,,,
amerercxsa.com,jpcert,0.9610235095024109,False,,,
brooksffield.shop,phishtank,0.9795271754264832,False,,,
trycellegene.com,jpcert,0.9656215906143188,False,,,
dbs.amakankartu24.com,phishtank,0.9887744188308716,False,,,
zhuhulan.com,certificates,0.984670877456665,True,404.0,,
hangzhougupiaozhishi.cn,jpcert,0.8798976540565491,False,,,
tmallruzhu.com.cn,jpcert,0.7164934873580933,False,,,
colegio.cn,jpcert,0.8844123482704163,False,,,
bccen32.com,certificates,0.9780229926109314,False,,,
remi73.com,jpcert,0.9868254065513611,False,,,
smbc-cardb.xyz,jpcert,0.9737091064453125,False,,,
x5oq1.icu,certificates,0.9765037894248962,False,,,
fl.sunpashlqa.cfd,phishtank,0.9867227673530579,False,,,
heimao-posti.cyou,jpcert,0.8437387943267822,False,,,
lifestylebusinessmagazine.com,certificates,0.7931870222091675,False,,,
aifulfa.online,jpcert,0.9128769636154175,False,,,
sparen.cn,certificates,0.9664144515991211,False,,,
587ebdvb.com,certificates,0.9855059385299683,False,,,
frexxx.net,certificates,0.7608258128166199,True,200.0,unknown,
thinklinker.com,jpcert,0.9471116662025452,True,403.0,,
makingskenhelp.com,certificates,0.9504290819168091,False,,,
denapharm.com,certificates,0.9424829483032227,False,,,
korzq.cn,jpcert,0.9608554244041443,True,503.0,,
nbxljs.com,jpcert,0.9311190843582153,True,503.0,,
communityshuiyet.com,jpcert,0.7232940196990967,False,,,
kbqsrq.com,certificates,0.9551075100898743,True,503.0,,
2coolsports.com,jpcert,0.7487980127334595,False,,,
goodstandporcelain.com,certificates,0.7853084206581116,True,200.0,unknown,
zimbratechupdateonline.top,phishtank,0.981145441532135,False,,,
yei237.com,jpcert,0.9592716693878174,False,,,
japan-inco.shop,jpcert,0.9872112274169922,False,,,
ybrjaoias.com,jpcert,0.9164459109306335,False,,,
gsgsdgsf.xyz,jpcert,0.9684455990791321,False,,,
kuronekoyameoato.top,jpcert,0.75226229429245,False,,,
95dnr.com,certificates,0.9673124551773071,False,,,
zzrfid.com,certificates,0.9876022934913635,False,,,
process-amazon-japan.com,jpcert,0.9761229157447815,False,,,
huapensoft.com,certificates,0.941337525844574,False,,,
mademoisellepopie.com,certificates,0.844528079032898,True,503.0,,
pewma.shop,phishtank,0.981296718120575,False,,,
amazon-co.me,certificates,0.9613012671470642,False,,,
jadnumd.com,certificates,0.9342243671417236,False,,,
aeon-cald.com,certificates,0.9832094311714172,False,,,
newyork321.com,certificates,0.9621294140815735,False,,,
mcikceradmy06.xyz,jpcert,0.964219331741333,False,,,
smbc-cardfive.work,phishtank,0.986019492149353,False,,,
