domain,source,ml_probability,dns_resolves,http_status,content_length,looks_legit,legit_indicators,phish_indicators
hzoq.cn,certificates,0.23915214836597443,True,503.0,6801,,,
7xlveayj.com,certificates,0.233251690864563,False,,0,,,
lteunlocks.com,phishtank,0.2974849343299866,False,,0,,,
autorouteulys.com,phishtank,0.06149584427475929,False,,0,,,
go.click.ly,jpcert,0.09114717692136765,True,200.0,2166,unknown,,
independentscale.com.au,jpcert,0.05953548476099968,True,503.0,6817,,,
aouxy.cn,jpcert,0.025646483525633812,True,503.0,6802,,,
producenz.com,phishtank,0.24715934693813324,True,503.0,6807,,,
uhaulshare.com,phishtank,0.04458272457122803,False,,0,,,
phoenix288.info,phishtank,0.10322650521993637,False,,0,,,
as324ind.lat,phishtank,0.04139617457985878,False,,0,,,
lrs-validationrequired.com,phishtank,0.020050372928380966,False,,0,,,
cleanuri.com,phishtank,0.011450209654867649,True,503.0,6806,,,
stricaimoveis.com.br,jpcert,0.11287003755569458,True,503.0,6814,,,
activisionaward.com,phishtank,0.006901997607201338,True,503.0,6813,,,
dahecaihui.com,certificates,0.06484919786453247,True,503.0,6808,,,
mlrip.ac.in,phishtank,0.07152744382619858,True,200.0,36771,True,about us|contact|copyright,
abonnement-uiys.com,phishtank,0.26166993379592896,True,503.0,6813,,,
uzdrbmn.shop,jpcert,0.020863721147179604,True,503.0,182,,,
ulys-portail.com,phishtank,0.1923549771308899,True,503.0,6810,,,
kimberoe.com,jpcert,0.011031363159418106,False,,0,,,
qldtutoring.com,jpcert,0.027630021795630455,True,406.0,226,,,
3c5.com,jpcert,0.019197609275579453,True,,0,,,
italive.it,jpcert,0.028535665944218636,False,,0,,,
melikataheri.com,phishtank,0.02801317349076271,True,503.0,6810,,,
makinedjp.net,jpcert,0.1793832629919052,False,,0,,,
achleshwar.in,phishtank,0.04495980590581894,True,503.0,6807,,,
hacertech.com,certificates,0.051853787153959274,False,,0,,,
aeqart.fr,phishtank,0.04390525817871094,False,,0,,,
kikiacai.com.br,jpcert,0.03651776909828186,False,,0,,,
baccaratguide.jp,jpcert,0.025961950421333313,True,503.0,6810,,,
cienciauneve.com,phishtank,0.059369344264268875,True,503.0,6810,,,
eki-co-jp.icu,jpcert,0.23822182416915894,False,,0,,,
aspirecareersintl.com,jpcert,0.1362164318561554,False,,0,,,
ostracontech.com,phishtank,0.02192845195531845,True,200.0,13946,True,about us|contact|copyright|company,
solutionscribe.fr,jpcert,0.02144613489508629,True,503.0,6811,,,
bank-pko.pl,phishtank,0.039031628519296646,False,,0,,,
bgnroh.xyz,phishtank,0.21014587581157684,True,503.0,6804,,,
zekiofarm.com,phishtank,0.03356771171092987,True,503.0,6807,,,
smokedamagecleanuppros.com,certificates,0.08063477277755737,True,503.0,6820,,,
jsszcm.com,jpcert,0.2949604392051697,True,503.0,6804,,,
ipv6guru.com,certificates,0.2035933881998062,True,200.0,44416,True,about us|contact|privacy policy|copyright|company,
gracedivineeducation.ci,phishtank,0.019808329641819,True,403.0,514,,,
szdaoshui.com,certificates,0.01201838068664074,True,503.0,6807,,,
praevida.com.ar,jpcert,0.0362149216234684,True,200.0,37798,True,contact|copyright|company,
marketagricola.pe,jpcert,0.05511029064655304,True,200.0,1366,unknown,,
sartoriaprincipemontalcino.com,phishtank,0.06871148943901062,True,503.0,6824,,,
foristom.org,jpcert,0.02503822185099125,True,200.0,30320,True,about us|contact|copyright|company,
eye-lucir.com,jpcert,0.09628880769014359,True,503.0,6807,,,
wmiwfy.de,phishtank,0.14961783587932587,False,,0,,,
ruiquan5.com,jpcert,0.017330195754766464,True,503.0,6806,,,
maftkd.com,jpcert,0.040066786110401154,False,,0,,,
melakahalalhub.com,jpcert,0.026792921125888824,True,,0,,,
seahawks.ch,jpcert,0.03563409298658371,True,503.0,40853,,,
elhamdeg.com,phishtank,0.02542172558605671,True,503.0,6806,,,
viaverde-domain.com,phishtank,0.17178082466125488,False,,0,,,
kyc-update-info.com,phishtank,0.19035202264785767,True,503.0,6813,,,
msha.ke,phishtank,0.009849786758422852,True,200.0,268178,unknown,contact,
2aw12d.lat,phishtank,0.06310474127531052,False,,0,,,
xazlty.com,jpcert,0.18745115399360657,True,503.0,6816,,,
maineremotestarters.com,phishtank,0.03897726535797119,True,503.0,6817,,,
mitadi.com,certificates,0.015492668375372887,True,503.0,6804,,,
lixunfb.com,jpcert,0.29366350173950195,True,503.0,6805,,,
thizinternational.com,phishtank,0.08704394847154617,False,,0,,,
ilsentiero.net,certificates,0.05787054821848869,True,503.0,6808,,,
marukoh1971.co.jp,jpcert,0.07508621364831924,True,200.0,80185,True,contact|copyright|会社概要,
cos.ge,phishtank,0.03645699843764305,True,503.0,6800,,,
ydshelf.com,certificates,0.06352122873067856,True,503.0,6805,,,
alafq.com,certificates,0.2069796770811081,True,200.0,38648,unknown,copyright,
dynmedia.uk,phishtank,0.15571288764476776,False,,0,,,
mineralenergi.com,phishtank,0.11699308454990387,True,503.0,6811,,,
gardnersregiment.com,jpcert,0.08309102803468704,False,,0,,,
datrixonlineservicia.world,phishtank,0.12436340004205704,False,,0,,,
wwwallegro.cz,phishtank,0.008659953251481056,True,503.0,6807,,,
